GenCo_Name,"Zone 
Location","Capacity 
(MW)",Fuel Type,"MinUp
Time (hr)","MinDown 
Time (hr)","Ramp Rate
(MW/hr)","StartUp 
Cost ($)","NoLoad
Cost ($)","Dispatch Cost 
Coefficient a 
($/MWh)","Dispatch Cost 
Coefficient b 
($/MW^2h)"
Generator_43,RI,247.8, NGA4 ,8,5,400,11112.19,699.7,22.28,2e-05
Generator_44,RI,247.8, NGA4 ,8,5,400,11112.19,699.7,22.18,2e-05
Generator_45,ME,244.9, NGPN ,12,12,400,62500.0,0.0,52.0,0.003
Generator_46,SEMASS,244.8, NGA4 ,12,8,400,12000.0,475.0,58.0,0.004
Generator_47,RI,238.6, NGA4 ,8,6,400,12000.0,485.0,57.5,0.0035
Generator_48,WCMASS,238.3, NGT2 ,6,6,400,7500.0,250.0,25.0,0.00375
Generator_49,RI,236.4, NGA4 ,8,6,400,12000.0,495.0,56.5,0.00372
Generator_50,ME,153.5, NGA1 ,17,12,400,5000.0,250.0,90.0,0.0041
Generator_51,RI,149.0, NGT4 ,8,6,400,7250.0,250.0,56.5,0.008
Generator_52,RI,149.0, NGA4 ,4,6,400,4000.0,350.0,56.75,0.013000000000000001
Generator_53,RI,149.0, NGA4 ,4,6,400,3500.0,325.0,57.0,0.0175
Generator_54,RI,149.0, NGA4 ,4,6,400,4000.0,375.0,57.25,0.022000000000000002
Generator_55,SEMASS,141.1, NGA4 ,6,5,400,5000.0,320.0,57.25,0.015
Generator_56,WCMASS,141.0, NGT1 ,3,1,400,7250.0,200.0,95.0,0.0035
Generator_57,SEMASS,104.9, NGA4 ,8,8,400,2500.0,300.0,57.5,0.005
Generator_58,WCMASS,104.0, NGT2 ,6,6,400,7750.0,250.0,100.0,0.0075
Generator_59,CT,43.9, NGA4 ,1,1,400,325.75,612.84,57.03,0.021330000000000002
Generator_60,CT,43.5, NGA4 ,1,1,400,325.75,612.84,57.03,0.021330000000000002
Generator_61,CT,43.5, NGA4 ,1,1,400,325.75,612.84,57.03,0.021330000000000002
Generator_62,CT,42.6, NGA4 ,1,1,400,325.75,612.84,57.03,0.021330000000000002
Generator_63,WCMASS,275.0, NGTN ,1,1,400,0.0,0.0,375.0,0.0042
Generator_64,RI,300.0, NGTN ,1,1,400,0.0,0.0,400.0,0.0035
Generator_65,RI,325.0, NGTN ,1,1,400,0.0,0.0,350.0,0.0036
Generator_66,CT,225.0, RFO ,1,1,400,0.0,0.0,325.0,0.0342
Generator_67,WCMASS,150.0, NGT2 ,1,1,400,0.0,0.0,375.0,0.008
Generator_68,WCMASS,175.0, NGT2 ,1,1,400,0.0,0.0,350.0,0.009000000000000001
Generator_69,ME,175.0, NGPN ,1,1,400,0.0,0.0,300.0,0.009000000000000001
Generator_70,ME,85.0, NGPN ,1,1,400,0.0,0.0,290.0,0.009000000000000001
Generator_71,ME,55.0, NGPN ,1,1,400,0.0,0.0,310.0,0.009000000000000001
Generator_72,ME,150.0, NGTN ,1,1,400,0.0,0.0,325.0,0.009000000000000001
Generator_73,ME,200.0, NGTN ,1,1,400,0.0,0.0,350.0,0.008
Generator_74,ME,150.0, NGTN ,1,1,400,0.0,0.0,340.0,0.0075
Generator_75,ME,100.0, NGTN ,1,1,400,0.0,0.0,375.0,0.0085
Generator_76,ME,125.0, NGTN ,1,1,400,0.0,0.0,310.0,0.0095
